Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Tyyppi;Alatyyppi;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Luonnehdinta;Alkoholi-%;Energia kcal/100 ml
945096;Adrianna Vineyard Fortuna Terrae Malbec 2015;Catena Zapata;0,75 l;84.96;113.28;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, karhunvatukkainen, mausteinen, aromikas;14.0;80.0
935635;Adrianna Vineyard River Stones Malbec 2017;Catena Zapata;0,75 l;124.91;166.55;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, tanniininen, boysenmarjainen, mustikkainen, vadelmainen;13.5;80.0
440567;Alamos Malbec Organic 2019;Alamos;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, luumuhilloinen, kypsän karpaloinen, hennon kukkainen, mausteinen;13.5;80.0
424107;Alamos Tempranillo 2016;Alamos;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2016;Keskitäyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, karpaloinen, mokkainen, hennon yrttinen;12.5;70.0
939055;Altos Las Hormigas Clásico Malbec 2018;Altos Las Hormigas;0,75 l;16.99;22.65;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, aroniamarjainen;13.5;80.0
936741;Altos Las Hormigas Terroir Luján de Cuyo 2017;Altos Las Hormigas;0,75 l;18.90;25.2;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2017;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, mausteinen;13.5;80.0
945913;Altos Las Hormigas Terroir Malbec 2016;Altos Las Hormigas;0,75 l;20.98;27.97;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2016;Täyteläinen, keskitanniininen, luumuinen, mausteinen, nahkainen;13.5;80.0
921767;Argento Organic Malbec Reserva 2015;Bodega Argento;0,75 l;14.98;19.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mansikkahilloinen, karpaloinen, yrttinen, mausteinen;14.0;80.0
402217;Argento Paraje Altamira Organic Malbec 2014;Bodega Argento;0,75 l;30.27;40.36;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2014;Täyteläinen, tanniininen, tumman kirsikkainen, karhunvatukkainen, viikunainen, kevyen orvokkinen, mausteinen, tyylikäs, tasapainoinen;14.0;80.0
941387;Argento Reserva Cabernet Franc 2014;Bodega Argento;0,75 l;14.99;19.99;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2014;Täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen;14.0;80.0
451687;Argento Seleccion Malbec 2018;Argento Wine Company;0,75 l;10.48;13.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, metsämansikkainen, kevyen mausteinen;13.5;80.0
924067;Beefsteak Club Malbec 2019;E. I. Wines;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen;13.5;80.0
903027;Beefsteak Club Reserve Malbec 2016;Andean Vineyards;0,75 l;24.99;33.32;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2016;Täyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen, vaniljainen;14.5;80.0
